DAR,Darling Ingredients Inc
URBN,Urban Outfitters Inc
KW,Kennedy Wilson Holdings Inc
ATSG,Air Transport Services Group Inc
CTRE,Caretrust Reit Inc
UCBI,United Community Banks Inc
CORT,Corcept Therapeutics Inc
OI,O I Glass Inc
OPK,Opko Health Inc
ATRC,Atricure Inc
COOP,Mr Cooper Group Inc
MTSI,Macom Technology Solutions Inc
ITCI,Intra Cellular Therapies Inc
FIT,Fitbit Inc Class A
FLR,Fluor Corp
CIM,Chimera Investment Corp
KTB,Kontoor Brands Inc
MLI,Mueller Industries Inc
PDM,Piedmont Office Realty Trust Reit
TWNK,Hostess Brands Inc Class A
OTTR,Otter Tail Corp
ONTO,Onto Innovation Inc
LILAK,Liberty Latin America Ltd Class C
AX,Axos Financial Inc
WSBC,Wesbanco Inc
SKYW,Skywest Inc
HTH,Hilltop Holdings Inc
RMBS,Rambus Inc
LZB,La-Z-Boy Inc
JELD,Jeld Wen Holding Inc
PMT,Pennymac Mortgage Investment Trust
NTCT,Netscout Systems Inc
WSFS,Wsfs Financial Corp
SAVE,Spirit Airlines Inc
CHX,Championx Corp
RNST,Renasant Corp
LTHM,Livent Corp
BLMN,Bloomin Brands Inc
RCII,Rent-A-Center Inc
WRE,Washington Real Estate Investment
HNI,Hni Corp
FIBK,First Interstate Bancsystem Inc Cl
IBOC,International Bancshares Corp
BDC,Belden Inc
AVYA,Avaya Holdings Corp
KURA,Kura Oncology Inc
OMI,Owens & Minor Inc
CFFN,Capitol Federal Financial Inc
EPC,Edgewell Personal Care
HMN,Horace Mann Educators Corp
THRM,Gentherm Inc
TRMK,Trustmark Corp
RVMD,Revolution Medicines Inc
CLNY,Colony Capital Inc Class A
CADE,Cadence Bancorporation Class A
BCC,Boise Cascade
IRWD,Ironwood Pharma Inc Class A
MCRB,Seres Therapeutics Inc
YELP,Yelp Inc
RUSHA,Rush Enterprises Inc Class A
RVNC,Revance Therapeutics Inc
FBP,First Bancorp
MNRO,Monro Inc
BE,Bloom Energy Class A Corp
UFS,Domtar Corp
CSII,Cardiovascular Systems Inc
LAUR,Laureate Education Inc Class A
RLJ,Rlj Lodging Trust Reit
CYRX,Cryoport Inc
AXNX,Axonics Modulation Technologies In
FFBC,First Financial Bancorp
PRFT,Perficient Inc
CENTA,Central Garden And Pet Class A
IMVT,Immunovant Inc
INT,World Fuel Services Corp
TWO,Two Harbors Investment Reit Corp
FMBI,First Midwest Bancorp Inc
HRTX,Heron Therapeutics Inc
KN,Knowles Corp
NWN,Northwest Natural Holding Company
ATGE,Adtalem Global Education Inc
ILPT,Industrial Logistics Properties Tr
VGR,Vector Group Ltd
FRME,First Merchants Corp
BEAT,Biotelemetry Inc
NTB,Bank Of Nt Butterfield & Son Ltd
RPAY,Repay Holdings Corp Class A
GNL,Global Net Lease Inc
NOVA,Sunnova Energy International Inc
SYKE,Sykes Enterprises Inc
CAKE,Cheesecake Factory Inc
VRRM,Verra Mobility Corp Class A
MNR,Monmouth Real Estate Investment Re
EGOV,Nic Inc
NSTG,Nanostring Technologies Inc
FBC,Flagstar Bancorp Inc
SVC,Service Properties Trust
CALX,Calix Networks Inc
LTC,Ltc Properties Reit Inc
HLIO,Helios Technologies Inc
SKY,Skyline Champion Corp
